,trade_date,open,high,low,close,vol
487,20160104,218,218,209.99,210.02,17349.69
486,20160105,210,213.97,207.51,212.82,31908.91
485,20160106,212.78,213.66,209.3,212.18,23760.9
484,20160107,208.99,208.99,200.03,202.23,8148.68
483,20160108,204.17,208,200,204.63,44510.09
482,20160111,203.16,203.79,199.4,199.86,29702.58
481,20160112,201.1,202.1,196,196.79,40287.23
480,20160113,199.1,206,198.6,199.78,29201.98
479,20160114,197.11,205.98,195.51,204.82,34776.06
478,20160115,204.75,206.18,198,199,26681.19
477,20160118,198,202.4,197.2,199.43,27371.23
476,20160119,201,210.33,200.01,210.24,59110.22
475,20160120,207,210.16,201.01,202.32,40968.66
474,20160121,201.26,204.59,199.9,200.26,21832.29
473,20160122,203.11,203.4,198.81,202.74,22733.48
472,20160125,203,203.49,201.5,202.77,13750.45
471,20160126,200.99,204.47,198.5,199.01,22280.92
470,20160127,199.98,200.89,195.7,199.93,29840.41
469,20160128,199.75,199.75,195.62,196.64,17903
468,20160129,197.48,202.5,197,200.65,23090.24
467,20160201,202.1,202.8,199.89,201.29,19178.02
466,20160202,202,204.8,200.64,204.55,17842.08
465,20160203,202.58,204.56,201.5,203.66,15156.99
464,20160204,204.8,205.88,203.54,204.99,16624.75
463,20160205,204.99,205.18,202.53,203.87,14227.67
462,20160215,200,203,199.6,200.41,19470.18
461,20160216,200.56,208,200.56,203.92,19223.16
460,20160217,203.74,204.92,200.51,202.3,20349.11
459,20160218,203.2,203.6,201.1,201.71,18892.56
458,20160219,201.62,203.18,201.13,203.11,14238.46
457,20160222,206,208.32,206,207.8,27759.86
456,20160223,207.77,214.98,207.02,212.41,37460.89
455,20160224,212.2,218.03,211.01,217.74,33129.02
454,20160225,218.8,220.48,212.13,212.41,39480.65
453,20160226,213.1,219.25,211.26,216.84,28332.71
452,20160229,218.99,220.88,206.8,214.91,47712.46
451,20160301,215.96,220.3,210.4,218.42,34004.59
450,20160302,219,225.5,218.67,224.22,47942.66
449,20160303,225,231.98,221.66,227.81,40193.28
448,20160304,226.88,240.16,225.01,238.78,85838.69
447,20160307,238.11,240,231.05,233.64,39345.55
446,20160308,233.3,233.3,227,229.21,26147.22
445,20160309,227,232.65,226.1,227.44,16402.6
444,20160310,228.99,233.7,228,228.06,25727.46
443,20160311,226.54,231.88,225.5,228.05,16320.08
442,20160314,230.76,233.5,222.2,224.57,45277.83
441,20160315,224.8,234.39,224.34,231.92,36356.33
440,20160316,230.22,232.5,225,228.61,24250.97
439,20160317,230,234.1,228.3,229.56,28820.95
438,20160318,232,232.26,225.78,226,70568.94
437,20160321,226.66,232.02,226.65,231.98,38547.45
436,20160322,232.26,238.18,231.5,234.49,41766.61
435,20160323,235.2,237,232.68,234.97,21412.06
434,20160324,235,245.4,231.3,242.66,62068.02
433,20160325,242.5,249.79,241.02,244.98,44756.16
432,20160328,244.98,253.38,244.98,249.58,48337.65
431,20160329,249.6,251,244.44,248.11,36688.05
430,20160330,249,250.4,245.48,248.66,27782.6
429,20160331,249.84,250.3,246.99,247.64,19457.34
428,20160401,248.95,250.49,244.54,245.09,25146.07
427,20160405,243,247.5,243,245.52,25047.85
426,20160406,245.8,257.6,245.8,257.21,48424.92
425,20160407,256.89,257.48,252.62,254.11,25536.39
424,20160408,252,255.89,248.2,249.86,23156.02
423,20160411,250.5,255.18,243.5,243.72,119284.68
422,20160412,243.7,245,242.1,244.92,23339.09
421,20160413,245.4,248.63,241.7,242.24,54274.25
420,20160414,242.38,244.83,241,242.76,28664.37
419,20160415,242.64,244.98,241.2,244.9,19029.26
418,20160418,242.8,246,242.5,243.68,18593.04
417,20160419,244.59,245.19,241.45,243.18,14236.68
416,20160420,243.19,244.4,235.8,238.44,33708.5
415,20160421,240.5,242.3,238.3,240.37,29672.22
414,20160422,241,247.88,240.37,247.4,35459.38
413,20160425,247.12,248.1,243.3,244.52,24990.28
412,20160426,244.95,246.88,243,243.86,15156.68
411,20160427,244.5,245.48,243.49,244.88,13915.1
410,20160428,245.83,246.74,244,246.44,17156.55
409,20160429,247.39,252.43,247.39,251.2,46079.49
408,20160503,250.55,262.28,250.55,260,56474.86
407,20160504,260,262.39,255.99,256.21,28636.26
406,20160505,256.5,258.15,255.5,257.77,13517.89
405,20160506,257.31,258.52,251.12,252.22,27173.69
404,20160509,250.13,252.8,249.01,250.82,27799.18
403,20160510,249.5,254,249.11,252.08,33505.89
402,20160511,252.35,260.48,252.35,256.87,49277.13
401,20160512,254.02,256.56,252,255.96,18894.11
400,20160513,255.98,258.9,250.5,250.96,28145.61
399,20160516,250.86,251.8,247.3,251.63,22202.73
398,20160517,251.01,252.4,249.83,250.03,11785.69
397,20160518,249.08,251.85,243.1,244.44,28380.34
396,20160519,245.16,248.5,244.5,245.77,20889.43
395,20160520,246.84,252.18,244.32,251.26,25501.57
394,20160523,249.72,254.99,249.72,254.2,18706.18
393,20160524,254.41,255.21,250.1,251.94,11674.4
392,20160525,254.48,254.94,251.01,251.86,17785.34
391,20160526,251.99,253.8,249.2,252.71,18120.26
390,20160527,252.72,254.69,251.38,252.44,13230.44
389,20160530,251.5,256.5,250,256.13,29806.92
388,20160531,256,266.62,255.2,264.47,53949.65
387,20160601,265.4,265.5,263,263.79,21876.69
386,20160602,263.01,268.68,263.01,267.74,24760.76
385,20160603,267,286.74,266.4,283.89,64798.13
384,20160606,282,283,275,276.05,37261.66
383,20160607,276.5,278.49,275.01,277.85,18753.53
382,20160608,276.4,277.86,273.5,274.28,23882.09
381,20160613,273.35,276.66,266.25,267.06,37775.06
380,20160614,267.71,273.8,267.71,272.75,25587.29
379,20160615,270.71,277.8,270.21,276.49,27322.01
378,20160616,274.86,277.8,273.78,274.02,19643.57
377,20160617,273.6,282.49,273.6,278.26,24705.18
376,20160620,279.77,279.86,274,276.11,19019.26
375,20160621,277.04,277.94,273,273.81,16749.33
374,20160622,273.77,279.36,272.77,278.44,20884.48
373,20160623,279.97,279.97,274.88,276.44,13984.51
372,20160624,275.28,277,267.2,273.77,20129.51
371,20160627,275,292.3,275,287.68,63642.69
370,20160628,287.02,289.66,286.32,288.21,24282.23
369,20160629,287.55,289.45,284.2,288.18,28147.6
368,20160630,290.02,298.2,290.02,291.92,38022.4
367,20160701,287.2,291.88,284,286.17,26014.95
366,20160704,287,295.4,286,293.9,29488.64
365,20160705,295.03,303.1,295.03,300.58,41707.73
364,20160706,299.8,318,299.01,317.19,47347.7
363,20160707,315.8,326.8,312.08,316.91,50725.2
362,20160708,313.53,315.5,306.16,309.91,45545.63
361,20160711,309.03,324,309.03,315.14,57481.67
360,20160712,315.76,326.6,315,324.73,53119.45
359,20160713,323.03,324.73,315.05,317.19,53448.28
358,20160714,316.09,320.8,315.2,317.09,29230.85
357,20160715,317.12,318.03,315.06,317.52,26811.01
356,20160718,317.5,319.5,315.66,316.21,23352.89
355,20160719,315.5,316.3,305.55,308.11,41431.66
354,20160720,308.62,310.87,307.5,308.56,17733.84
353,20160721,310.15,317.6,309,314.38,33009.49
352,20160722,312.9,315.2,307.38,307.92,28871.45
351,20160725,307.6,314.19,307,311.26,23623.53
350,20160726,309.01,319.5,308.5,319.04,35555.67
349,20160727,319.85,320.6,308.3,314.01,39228.06
348,20160728,312,319.3,311.5,316.05,39643.99
347,20160729,315.08,318.88,313,313.15,29007.37
346,20160801,313,313.95,305,306.96,31701.85
345,20160802,307.25,310.5,302.85,306.21,26541.42
344,20160803,307,307.9,304.15,306.82,24039.07
343,20160804,306.85,308.33,304.22,306.3,21793.64
342,20160805,306.49,308.37,305.03,305.93,20308.48
341,20160808,306.15,308.3,303.06,308.1,22007.4
340,20160809,308.17,317.67,306.42,315.75,39289.67
339,20160810,315.05,316.5,313.33,313.81,20944.71
338,20160811,314.38,321.57,314.01,316.77,31939.72
337,20160812,317.4,317.4,314.01,316.97,23352.83
336,20160815,315.8,321.69,314.15,318.78,34110.13
335,20160816,322,322.48,308,309.52,88378.69
334,20160817,309.6,310.97,306.5,308.16,43754.06
333,20160818,307.95,309.65,305.13,306.43,31005.99
332,20160819,305.8,307.45,304.8,306.48,19140.91
331,20160822,306.13,309.58,306,307.32,20812.7
330,20160823,307.33,309.04,305.8,306.88,19914.26
329,20160824,307.02,307.49,303.83,305.28,22779.42
328,20160825,305.2,305.38,300.07,303.01,25362.58
327,20160826,303.14,304.55,300.4,301.45,21436.45
326,20160829,308,308.8,305.2,307.53,38055.57
325,20160830,307,308.5,304.67,305.86,21170.52
324,20160831,306.7,310.76,305.54,310.19,40401.44
323,20160901,309.7,312,308.25,308.71,17185.97
322,20160902,308,309.45,304.88,305.78,18572.24
321,20160905,306.2,309,305.81,308.5,19138.7
320,20160906,308.5,310.36,308.35,309.94,20625.83
319,20160907,309.68,309.68,305.5,306.6,29645.15
318,20160908,305.21,306.5,304.41,305.82,16705.78
317,20160909,306.65,306.86,304,304.63,16222.51
316,20160912,302,304,297.77,298.06,38238.81
315,20160913,299.95,300.97,299.3,300.43,16255.88
314,20160914,300.1,302.2,298.01,299.57,18527.65
313,20160919,300.05,301.57,299.88,300.13,12852.1
312,20160920,300.78,300.8,294,294.96,34892.6
311,20160921,295.06,295.39,289.11,294.05,39037.23
310,20160922,294.3,299.98,294.01,296.98,29606.17
309,20160923,297.02,298.95,295.4,297.68,12671.9
308,20160926,297,297.01,288.55,288.73,37176.08
307,20160927,288.88,291.98,288.76,291.17,17915.82
306,20160928,291.79,291.79,287.56,288.41,22360.01
305,20160929,287.85,293,287.85,290.98,23705.69
304,20160930,290,299.63,290,297.91,29603.5
303,20161010,298.51,303.86,298.51,302.96,21103.62
302,20161011,304,309,303,308.92,41736.75
301,20161012,308.5,308.5,304.9,305.82,19286.02
300,20161013,306.8,306.94,303.51,303.89,16143.98
299,20161014,303.47,306,303.2,305.6,12690.92
298,20161017,305.45,305.5,301.5,302.45,18957.03
297,20161018,302.5,308.5,302,307.16,30389.31
296,20161019,308.5,308.75,305.1,306.45,14123.28
295,20161020,307.39,307.39,304.8,305.48,14079.92
294,20161021,305.08,305.48,302.59,304.19,11483.32
293,20161024,302.6,307,302.6,306.93,26246.52
292,20161025,307.39,313,307.39,312.94,43762.39
291,20161026,313,318.31,311.65,313.68,46813.07
290,20161027,312.99,318.22,311.01,316.87,32951.62
289,20161028,317.5,318.43,314,317.05,20137.33
288,20161031,319,322.8,316.8,317.95,43596.1
287,20161101,317.95,319,315.55,316.68,19512.39
286,20161102,316.09,317.16,313.68,315.18,20636.42
285,20161103,315,316.46,314.15,315.86,18690.81
284,20161104,315.99,318.25,313.98,314.82,20619.27
283,20161107,315,317,313.2,315.33,16047.8
282,20161108,316.5,322.18,315.68,320,34193.83
281,20161109,320,321.97,313.8,316.81,30004.49
280,20161110,319.1,321,317.73,319.13,17804.96
279,20161111,317.99,318.3,314.8,315.08,35902.65
278,20161114,315.55,315.87,309.99,310.99,39920.49
277,20161115,310.03,315.65,310.03,314.01,24470.55
276,20161116,313.81,315.4,312,313.15,13399.81
275,20161117,312.08,313,310.53,311.04,18337.76
274,20161118,311.16,311.8,309.88,310,19377.69
273,20161121,311.02,311.66,308.37,309.5,26083.84
272,20161122,310.3,310.45,308.37,308.87,26424.27
271,20161123,311,313,309.11,312.95,34015.04
270,20161124,313.2,317,311.42,316.93,39078.7
269,20161125,317.04,318,313.42,316.89,22369.67
268,20161128,317.55,320.18,316.6,319.5,49253.01
267,20161129,320.7,330.45,319.41,323.96,58830.62
266,20161130,321.22,323.3,318.45,319.08,26752.37
265,20161201,320,324.59,318.68,321.02,27941.82
264,20161202,321,323.2,319,321.77,30628.33
263,20161205,319.2,324.54,315.82,315.93,42060.81
262,20161206,316.23,326.58,316.23,326.42,38923.09
261,20161207,327.12,328.5,323.97,327.45,25271.74
260,20161208,328.01,340,327,337.71,54475.78
259,20161209,337.2,339.42,334.02,337.76,34495.59
258,20161212,337.7,340,325.7,326.86,50332.44
257,20161213,326.84,335,325.5,333.01,41780
256,20161214,333,334.07,328.5,332.27,32029.02
255,20161215,332.46,332.99,325.58,328.05,39202.75
254,20161216,327,329.88,323.58,327.58,25051.26
253,20161219,326,334.37,325.61,325.96,30471.87
252,20161220,326.04,327,321.81,326.48,30831.59
251,20161221,326.9,329.29,323.56,328.66,24711.24
250,20161222,328,328.46,324.88,325.2,14678.13
249,20161223,323.55,324.5,319.13,320.03,31095.55
248,20161226,319.03,324.99,316.2,324.48,26001.43
247,20161227,324.51,328.8,323.5,326.16,20062.29
246,20161228,326.99,328,323.33,323.72,17878.11
245,20161229,324,327.87,323,327.31,21225.12
244,20161230,326.61,335.29,326.61,334.15,34687.67
243,20170103,334.28,337,332.81,334.56,20763.89
242,20170104,334.62,352.17,334.6,351.91,65257.38
241,20170105,350,351.45,345.44,346.74,41704.48
240,20170106,346.64,359.78,346.1,350.76,68095.62
239,20170109,347.8,352.88,346.54,348.51,35405
238,20170110,348.45,352,346.6,349,31727.64
237,20170111,348,348,343.5,345.45,23598.51
236,20170112,346.55,347.4,344.51,347.05,17779.4
235,20170113,346.98,347.39,343.88,344.87,18282.48
234,20170116,344.13,344.8,338.8,341.47,36855.45
233,20170117,342.6,351.5,342,349.13,35188.38
232,20170118,348.88,356.77,347.21,355.08,46005.7
231,20170119,355,358.48,351.7,354.72,28523.92
230,20170120,354.9,357.4,353.03,354.99,21344.17
229,20170123,356.88,359.8,349.46,351.22,32581.18
228,20170124,351.27,352.8,346.75,350.31,26914.58
227,20170125,349.98,349.98,346.2,347.63,22990.36
226,20170126,348.14,348.8,341.3,344.42,37826.17
225,20170203,346,349.18,345,346.85,20936.43
224,20170206,348.49,348.89,344.96,346.85,15680.79
223,20170207,346.84,347.4,343.14,343.58,20519.83
222,20170208,343.76,345.5,342.67,344.21,19088.54
221,20170209,345,348.79,344.61,347.61,23324.38
220,20170210,348.62,349.82,345,345.08,24056.59
219,20170213,344,351.9,341.92,349.75,53587.9
218,20170214,349.54,352.6,349.1,350.21,26558.68
217,20170215,351.5,352.44,347.2,348.53,26256.96
216,20170216,348.5,348.62,345.51,348.09,17642.3
215,20170217,348.9,354.44,347.5,350.56,29102.34
214,20170220,350.41,362.32,350.01,361.29,61853.4
213,20170221,361.88,362.43,357.18,358.74,27705.77
212,20170222,360.61,366.52,360,361.89,37130.31
211,20170223,360.97,365.48,359.76,361.7,23328.06
210,20170224,362,362.89,360.05,362.62,17692.78
209,20170227,362.49,362.85,356.8,357.2,25400.46
208,20170228,357,359.2,353.58,354.66,27473.51
207,20170301,355.1,358.2,355,356.61,21944.2
206,20170302,356.71,357,354.53,356.82,22103.62
205,20170303,355,358.22,355,356.54,14153.55
204,20170306,357.66,359.54,356.55,358.96,22818.84
203,20170307,358.03,368.88,358.03,367.2,46286.98
202,20170308,367.18,368.49,365.5,367.28,16037.7
201,20170309,367,369.98,365.56,369.9,23406.06
200,20170310,369.92,377,368.36,369.85,40951.05
199,20170313,370.05,374.33,367.53,371.55,27674.32
198,20170314,371.55,373.85,368.34,369.5,20416.49
197,20170315,369.5,375.15,369.01,374.68,25155.26
196,20170316,376.56,378.3,372.8,374.77,25022.6
195,20170317,373.1,384.45,373.1,378.48,34700.26
194,20170320,380.5,386.71,378.88,386.41,31545.94
193,20170321,386.55,396.5,386.5,394.01,48460.96
192,20170322,390.53,394.6,385,394.48,45532.71
191,20170323,392.03,393.99,386.6,389.79,34504.81
190,20170324,392.32,393.22,385,386.82,33287.72
189,20170327,386.03,389.26,378.39,378.82,53690.28
188,20170328,379.95,381.15,376.66,380.26,41187.17
187,20170329,381.01,385.8,379.9,383.65,37299.67
186,20170330,383,386.89,382.6,386.14,31612.99
185,20170331,386.2,388,384.18,386.36,24474.22
184,20170405,385.66,394.99,385,389.66,40789.98
183,20170406,389.01,393,386.63,391.91,28857.2
182,20170407,392.99,394,389.6,392.87,24097.23
181,20170410,394,394,388,389.2,28869.48
180,20170411,388.05,390.7,380.6,385.29,43530.72
179,20170412,385.29,391,384.8,390.23,27002.91
178,20170413,390.78,398.59,390.51,398.39,45648.35
177,20170414,399.43,399.88,395,395.45,23646.56
176,20170417,391,398.28,388.55,395.79,28793.71
175,20170418,394.6,406.55,394.6,404.65,49581
174,20170419,403,409.1,402.86,405.74,37550.11
173,20170420,406.09,420.43,406.09,415.31,50457.68
172,20170421,415,415.6,400,400.53,49332.92
171,20170424,400.62,405,389,398.55,50037.97
170,20170425,404.8,420.17,404.8,418.89,76192.71
169,20170426,418.85,428.68,413.01,417.96,56624.12
168,20170427,415.53,421.97,410.43,421.44,28240.71
167,20170428,421.99,423,409.9,413.48,49505.87
166,20170502,411.6,415,409.18,412.08,23291.68
165,20170503,411,417.66,411,417.61,20267.91
164,20170504,414.63,418.48,414.63,416,26709.15
163,20170505,416.2,422.78,415.1,416.19,37437.11
162,20170508,416.18,417,404.72,405.48,40721.65
161,20170509,404.44,409.88,398,408.76,52801.92
160,20170510,408.4,414.44,407.02,410.09,26039.38
159,20170511,408.4,414.7,406.51,412.16,30467.64
158,20170512,413.59,415.3,410.01,413.47,22337.42
157,20170515,413.12,420.35,413.12,419.55,33447.35
156,20170516,419.6,431.22,418.26,430.12,50164.9
155,20170517,429,430.19,424.88,426.6,27515.21
154,20170518,425.05,430.7,425.01,429.54,24300.8
153,20170519,429.57,441.8,429.57,440.82,38310.83
152,20170522,439.04,446.01,436.2,441.78,35321.49
151,20170523,442.25,454.47,442.25,454.2,48454.39
150,20170524,452.9,456.48,446,450.32,40226.18
149,20170525,448.71,452.96,447.5,450.6,28898.42
148,20170526,450.82,455.6,448,451.92,27386.64
147,20170531,450,450.5,440.11,442.94,44312.25
146,20170601,442.5,449.95,441.01,449.28,40604.78
145,20170602,450,450.95,445.6,447.31,21785.26
144,20170605,448.04,449,442.35,444.41,19241.2
143,20170606,444.97,449,444.2,448.82,20402.44
142,20170607,449.12,460,449.12,459.37,38834.3
141,20170608,461.32,464.4,458.5,464.31,28951.11
140,20170609,464.24,470.8,463,465.74,31430.76
139,20170612,467,475.44,465,472.88,35109.16
138,20170613,473.05,474.5,467,473.04,24237.98
137,20170614,472.79,477.5,470.48,474.39,33768.63
136,20170615,475,475.48,464,464.3,50202.8
135,20170616,461.5,467.49,461.26,462.63,33331.8
134,20170619,461.96,470.39,461.96,470.17,38536.68
133,20170620,473,474.88,465.66,466.3,34505.39
132,20170621,469.55,473,466.03,472.71,42038.54
131,20170622,473.02,477.93,471.2,472.75,38242.34
130,20170623,472.86,474.88,468.33,472.73,31303.62
129,20170626,473.01,485,472,484.68,52932.57
128,20170627,482.82,485,480.85,484.1,27980.78
127,20170628,484.09,484.09,473,475.3,37728.74
126,20170629,476.3,477.35,470,473.01,35092.72
125,20170630,471.51,474.16,467.8,471.85,22427.17
124,20170703,474.2,474.2,457.9,460.37,49628.53
123,20170704,458.96,460,449,451.92,56488.95
122,20170705,453.01,460.33,453.01,460.13,37540.32
121,20170706,458.11,460.2,450.6,455.98,42044.39
120,20170707,451.05,451.1,441.2,445.97,37796.47
119,20170710,446.88,454.9,442.97,454.47,36624.09
118,20170711,454.5,464.58,454,463.13,44601.82
117,20170712,465.8,465.99,455,457.47,28950.72
116,20170713,455.35,461.91,453.68,456.16,25951.35
115,20170714,456.25,458.76,453.05,456.41,17726.57
114,20170717,457.04,458.04,446.28,450.07,35263.68
113,20170718,451.99,453.99,448,452.55,30684.49
112,20170719,454,463.62,452.8,456.86,56259.94
111,20170720,455.86,466.89,455.86,466.47,46634.87
110,20170721,466.96,475.01,463.66,473.2,46792.41
109,20170724,474.88,485.35,474.88,477.8,42716.43
108,20170725,482.2,482.8,476.1,477.96,21929.99
107,20170726,478.05,481.63,466.56,471.63,31470.18
106,20170727,471.63,475.85,471.1,473.87,19595.03
105,20170728,471,484.07,467.71,483.92,46618.77
104,20170731,484,487.96,481,481.22,38412.18
103,20170801,481,483,477.4,480.24,27501.54
102,20170802,480.04,484.88,478.51,482.84,26774.22
101,20170803,483.68,486.85,475.63,477.22,31768.39
100,20170804,477,478.98,472.6,473.64,18681.14
99,20170807,472.5,482.4,471.13,481.56,23099.37
98,20170808,482,484.22,479.5,482.58,16051.58
97,20170809,484.84,492.98,482.03,490.85,41794.47
96,20170810,491.09,499.6,489,491.63,35364.38
95,20170811,489,496.55,483.48,484.06,36572.57
94,20170814,485.21,500.1,485.21,499.83,39331.47
93,20170815,500.11,501.1,495.01,495.97,27163.22
92,20170816,498,498.8,493,496.49,18587.22
91,20170817,497.6,497.6,489.8,492.69,25846.73
90,20170818,492.8,494.44,488,489.65,23857.75
89,20170821,488,494.4,486.94,489.73,23546.62
88,20170822,487.4,489.48,476,487.22,42457.03
87,20170823,485.45,494.63,484.32,494.01,27214.99
86,20170824,493.99,496.4,492.02,492.81,18156.78
85,20170825,493.45,494.25,489.32,492.99,17297.88
84,20170828,493,497.29,491.03,492.04,29021.07
83,20170829,493.02,494.88,488.01,489.44,25176.62
82,20170830,489.7,493.75,489.16,492.97,18503.64
81,20170831,494.04,494.88,489.8,491.15,18736.86
80,20170901,490.2,496.28,490.03,495.18,31451
79,20170904,495.18,496.66,491.27,492.42,18931.62
78,20170905,492.88,493.99,489.5,489.99,22622.15
77,20170906,490,492.77,484.84,484.98,33006.5
76,20170907,485.31,486.9,480.06,481.27,33320.16
75,20170908,478.25,480.5,474,474.37,41173.27
74,20170911,471.09,482.22,469.98,478.32,45374.4
73,20170912,479.5,486,478.4,484.91,34341.63
72,20170913,485,492.2,481.38,491.63,33075.7
71,20170914,492.99,494.03,488.99,490.71,19399.49
70,20170915,492.5,492.5,488,489.84,16039.46
69,20170918,490.14,500.5,490.14,498.97,42206.81
68,20170919,500.3,502.5,496.01,496.95,23054.81
67,20170920,496.9,500.02,496,496.2,17318.16
66,20170921,495.94,500.58,492.88,498.77,19402.68
65,20170922,496.9,500.18,495.8,499.93,16343.53
64,20170925,500.31,508.2,500.3,507.24,32697.56
63,20170926,506.69,510,503.6,509.29,25470.49
62,20170927,508.92,511.03,506.07,508.21,16671.11
61,20170928,507.2,520.2,507.15,518.46,25969.85
60,20170929,516,525.88,515.5,517.64,22436.22
59,20171009,524.54,535.55,520.1,527.77,34891.29
58,20171010,527.05,540.49,527.01,540.06,31006.44
57,20171011,538.1,551.25,538.1,545.54,33406.43
56,20171012,545,547.5,540.18,544.09,19646.22
55,20171013,545,556.6,542.01,556.15,27858.42
54,20171016,559.99,566.66,555.87,560.69,29909.01
53,20171017,560.97,560.97,554,556.73,20977.12
52,20171018,554.2,562.59,554.2,560.72,19178.65
51,20171019,561,585.15,560.72,582.6,40658.82
50,20171020,581,581,571.76,574.33,31534.33
49,20171023,574.92,580.5,568,573.41,23771.82
48,20171024,572,573.8,563.61,567.33,31274.28
47,20171025,569.75,571.68,562.06,565.67,25076
46,20171026,605,613,591.91,605.09,115434.97
45,20171027,602.11,655,600.03,649.63,84383.79
44,20171030,643.05,644,621,622.08,81007.86
43,20171031,622.01,627.6,611.88,618.03,51875.68
42,20171101,620.88,631.54,619.22,623.01,43435.25
41,20171102,626.95,629.78,621,626.92,34249.73
40,20171103,628.65,643.44,628.65,639.17,48188.97
39,20171106,641.5,657.62,640.2,653.06,48513.98
38,20171107,650.58,657.15,638.18,642.07,55564.85
37,20171108,642.33,654.5,642.33,650.38,43951.94
36,20171109,648,654.15,644.61,650.07,33641.13
35,20171110,650.43,683.4,650.43,677.95,74078.6
34,20171113,680,692.78,675.8,687.88,49869.84
33,20171114,687.14,687.22,677.35,678.75,46366.71
32,20171115,678.75,689.99,674,688.08,45036.33
31,20171116,686.01,719.96,686.01,719.11,60716.32
30,20171117,696,709,677.77,690.25,123861.24
29,20171120,676.8,685.6,660,679.15,88305.82
28,20171121,669,688.8,662.02,677.25,96016.51
27,20171122,677,688,650,650.52,128498.26
26,20171123,642,646,630.22,633.73,109599.13
25,20171124,635.9,642.5,622.23,630.04,76541.94
24,20171127,634,636.33,613.01,621.29,63548.46
23,20171128,625.06,648.88,624,648.23,70291.83
22,20171129,649.94,651.97,634.01,638.12,46763.72
21,20171130,635.51,648.48,626,631,38019.62
20,20171201,638.01,638.99,620.13,622.35,47192.74
19,20171204,623.95,644.1,616.72,637.79,54267.71
18,20171205,634,647.4,630.13,632.96,47465.76
17,20171206,631.5,644.1,620,625.01,58174.09
16,20171207,624.95,624.99,615.26,616.69,51032.62
15,20171208,615.42,628.85,615.42,627.28,45503.39
14,20171211,631,651.95,631,650.99,72849.17
13,20171212,658.7,658.77,651.02,651.32,47889.31
12,20171213,654.99,670,650.72,668.21,48502.48
11,20171214,669.98,671.3,660.5,664.55,31967.94
10,20171215,664,667.95,650.78,653.79,32255.95
9,20171218,660,669.8,658.58,665.77,39162.28
8,20171219,663,672.44,661,667.09,44072.21
7,20171220,669.9,686.86,664.03,684.91,63601.31
6,20171221,683,687.42,675.5,681.74,46680.38
5,20171222,680,685.9,677.01,682.92,28317.01
4,20171225,686,696.3,683.72,688.12,36214.28
3,20171226,688.18,692.99,676.5,680.81,31867.66
2,20171227,684.86,684.86,662.5,664.18,37722.05
1,20171228,687,719.9,671.32,718.69,124141.07
0,20171229,718,726.5,691.6,697.49,76038.87
